Feature Name,Category,Description,Routes,Templates,File
"Chat Interface","Interface","Interactive chat application interface","","templates/app.html","templates/app.html"
"Raw","Feature","Raw functionality and management","","backup-12-27-2024/templates/raw.html","backup-12-27-2024/templates/raw.html"
"Image Analysis","Feature","Image Analysis functionality and management","","backup-12-27-2024/templates/image_analysis.html","backup-12-27-2024/templates/image_analysis.html"
"Image Upload","Feature","Image Upload functionality and management","","backup-12-27-2024/templates/image_upload.html","backup-12-27-2024/templates/image_upload.html"
"Image Results","Feature","Image Results functionality and management","","backup-12-27-2024/templates/image_results.html","backup-12-27-2024/templates/image_results.html"
"Image Organization","Feature","Image Organization functionality and management","","backup-12-27-2024/templates/image_organization.html","backup-12-27-2024/templates/image_organization.html"
"Spotify Report","Feature","Spotify Report functionality and management","","backup-12-27-2024/templates/spotify_report.html","backup-12-27-2024/templates/spotify_report.html"
"Voice Emotion","Feature","Voice Emotion functionality and management","","backup-12-27-2024/templates/voice_emotion.html","backup-12-27-2024/templates/voice_emotion.html"
"User Guide","Feature","User Guide functionality and management","","backup-12-27-2024/templates/user_guide.html","backup-12-27-2024/templates/user_guide.html"
"Welcome","Feature","Welcome functionality and management","","backup-12-27-2024/templates/welcome.html; backup-12-27-2024/templates/setup/welcome.html","backup-12-27-2024/templates/welcome.html"
"Home","Feature","Home functionality and management","","backup-12-27-2024/templates/home.html","backup-12-27-2024/templates/home.html"
"403","Feature","403 functionality and management","","backup-12-27-2024/templates/403.html; backup-12-27-2024/templates/errors/403.html","backup-12-27-2024/templates/403.html"
"Tasks","Feature","Tasks functionality and management","","backup-12-27-2024/templates/tasks.html","backup-12-27-2024/templates/tasks.html"
"Voice Interface","Feature","Voice Interface functionality and management","","backup-12-27-2024/templates/voice_interface.html","backup-12-27-2024/templates/voice_interface.html"
"Continuous Listening","Feature","Continuous Listening functionality and management","","backup-12-27-2024/templates/continuous_listening.html","backup-12-27-2024/templates/continuous_listening.html"
"Simple Welcome","Feature","Simple Welcome functionality and management","","backup-12-27-2024/templates/simple_welcome.html","backup-12-27-2024/templates/simple_welcome.html"
"Change Password","Feature","Change Password functionality and management","","backup-12-27-2024/templates/change_password.html","backup-12-27-2024/templates/change_password.html"
"Register","Feature","Register functionality and management","","backup-12-27-2024/templates/register.html","backup-12-27-2024/templates/register.html"
"Simplified Layout","Feature","Simplified Layout functionality and management","","backup-12-27-2024/templates/simplified_layout.html","backup-12-27-2024/templates/simplified_layout.html"
"Minimal","Feature","Minimal functionality and management","","backup-12-27-2024/templates/minimal.html","backup-12-27-2024/templates/minimal.html"
"Base","Feature","Base functionality and management","","backup-12-27-2024/templates/base.html","backup-12-27-2024/templates/base.html"
"Index Public","Feature","Index Public functionality and management","","backup-12-27-2024/templates/index_public.html","backup-12-27-2024/templates/index_public.html"
"Layout","Feature","Layout functionality and management","","backup-12-27-2024/templates/layout.html; backup-12-27-2024/templates/aa/layout.html; backup-12-27-2024/templates/setup/layout.html","backup-12-27-2024/templates/layout.html"
"Error","Feature","Error functionality and management","","backup-12-27-2024/templates/error.html; backup-12-27-2024/templates/errors/error.html","backup-12-27-2024/templates/error.html"
"Features","Feature","Features functionality and management","","backup-12-27-2024/templates/features.html; backup-12-27-2024/templates/beta/features.html; backup-12-27-2024/templates/setup/features.html","backup-12-27-2024/templates/features.html"
"About","Feature","About functionality and management","","backup-12-27-2024/templates/about.html","backup-12-27-2024/templates/about.html"
"Login","Feature","Login functionality and management","","backup-12-27-2024/templates/login.html; backup-12-27-2024/templates/auth/login.html","backup-12-27-2024/templates/login.html"
"Enhanced Index","Feature","Enhanced Index functionality and management","","backup-12-27-2024/templates/enhanced_index.html","backup-12-27-2024/templates/enhanced_index.html"
"Crisis","Feature","Crisis functionality and management","","backup-12-27-2024/templates/aa/crisis.html","backup-12-27-2024/templates/aa/crisis.html"
"Pain Flares","Feature","Pain Flares functionality and management","","backup-12-27-2024/templates/aa/pain_flares.html","backup-12-27-2024/templates/aa/pain_flares.html"
"Nightly Inventory","Feature","Nightly Inventory functionality and management","","backup-12-27-2024/templates/aa/nightly_inventory.html","backup-12-27-2024/templates/aa/nightly_inventory.html"
"Spot Check","Feature","Spot Check functionality and management","","backup-12-27-2024/templates/aa/spot_check.html","backup-12-27-2024/templates/aa/spot_check.html"
"Big Book","Feature","Big Book functionality and management","","backup-12-27-2024/templates/aa/big_book.html","backup-12-27-2024/templates/aa/big_book.html"
"Speakers","Feature","Speakers functionality and management","","backup-12-27-2024/templates/aa/speakers.html","backup-12-27-2024/templates/aa/speakers.html"
"Favorites","Feature","Favorites functionality and management","","backup-12-27-2024/templates/aa/favorites.html","backup-12-27-2024/templates/aa/favorites.html"
"Search","Feature","Search functionality and management","","backup-12-27-2024/templates/aa/search.html","backup-12-27-2024/templates/aa/search.html"
"Speaker Detail","Feature","Speaker Detail functionality and management","","backup-12-27-2024/templates/aa/speaker_detail.html","backup-12-27-2024/templates/aa/speaker_detail.html"
"Chapter","Feature","Chapter functionality and management","","backup-12-27-2024/templates/aa/chapter.html","backup-12-27-2024/templates/aa/chapter.html"
"Exercise","Feature","Exercise functionality and management","","backup-12-27-2024/templates/voice_mindfulness/exercise.html","backup-12-27-2024/templates/voice_mindfulness/exercise.html"
"Personalize","Feature","Personalize functionality and management","","backup-12-27-2024/templates/voice_mindfulness/personalize.html; backup-12-27-2024/templates/setup/personalize.html","backup-12-27-2024/templates/voice_mindfulness/personalize.html"
"Generate","Feature","Generate functionality and management","","backup-12-27-2024/templates/smart_shopping/generate.html","backup-12-27-2024/templates/smart_shopping/generate.html"
"View List","Feature","View List functionality and management","","backup-12-27-2024/templates/smart_shopping/view_list.html","backup-12-27-2024/templates/smart_shopping/view_list.html"
"Mobile","Feature","Mobile functionality and management","","backup-12-27-2024/templates/crisis/mobile.html","backup-12-27-2024/templates/crisis/mobile.html"
"Table View","Feature","Table View functionality and management","","backup-12-27-2024/templates/admin/table_view.html","backup-12-27-2024/templates/admin/table_view.html"
"System Settings","Feature","System Settings functionality and management","","backup-12-27-2024/templates/admin/system_settings.html","backup-12-27-2024/templates/admin/system_settings.html"
"Request","Feature","Request functionality and management","","backup-12-27-2024/templates/beta/request.html","backup-12-27-2024/templates/beta/request.html"
"Feedback","Analytics","User feedback collection and analysis system","","backup-12-27-2024/templates/beta/feedback.html","backup-12-27-2024/templates/beta/feedback.html"
"Manage Testers","Feature","Manage Testers functionality and management","","backup-12-27-2024/templates/beta/manage_testers.html","backup-12-27-2024/templates/beta/manage_testers.html"
"View Feedback","Feature","View Feedback functionality and management","","backup-12-27-2024/templates/beta/view_feedback.html","backup-12-27-2024/templates/beta/view_feedback.html"
"Feedback Report","Feature","Feedback Report functionality and management","","backup-12-27-2024/templates/beta/feedback_report.html","backup-12-27-2024/templates/beta/feedback_report.html"
"Request Access","Feature","Request Access functionality and management","","backup-12-27-2024/templates/beta/request_access.html","backup-12-27-2024/templates/beta/request_access.html"
"Admin Panel","Feature","Admin Panel functionality and management","","backup-12-27-2024/templates/beta/admin.html","backup-12-27-2024/templates/beta/admin.html"
"Apply","Feature","Apply functionality and management","","backup-12-27-2024/templates/beta/apply.html","backup-12-27-2024/templates/beta/apply.html"
"Complete","Feature","Complete functionality and management","","backup-12-27-2024/templates/setup/complete.html","backup-12-27-2024/templates/setup/complete.html"
"401","Feature","401 functionality and management","","backup-12-27-2024/templates/errors/401.html","backup-12-27-2024/templates/errors/401.html"
"400","Feature","400 functionality and management","","backup-12-27-2024/templates/errors/400.html","backup-12-27-2024/templates/errors/400.html"
"404","Feature","404 functionality and management","","backup-12-27-2024/templates/errors/404.html; backup-12-27-2024/static/error/404.html","backup-12-27-2024/templates/errors/404.html"
"500","Feature","500 functionality and management","","backup-12-27-2024/templates/errors/500.html; backup-12-27-2024/static/error/500.html","backup-12-27-2024/templates/errors/500.html"
"Setup","Feature","Setup functionality and management","","backup-12-27-2024/templates/2fa/setup.html","backup-12-27-2024/templates/2fa/setup.html"
"Verify","Feature","Verify functionality and management","","backup-12-27-2024/templates/2fa/verify.html","backup-12-27-2024/templates/2fa/verify.html"
"Create","Feature","Create functionality and management","","backup-12-27-2024/templates/forms/create.html; backup-12-27-2024/templates/meet/create.html","backup-12-27-2024/templates/forms/create.html"
"Recovery Assessment","Feature","Recovery Assessment functionality and management","","backup-12-27-2024/templates/forms/recovery_assessment.html","backup-12-27-2024/templates/forms/recovery_assessment.html"
"Anonymous Sharing","Feature","Anonymous Sharing functionality and management","","backup-12-27-2024/templates/forms/anonymous_sharing.html","backup-12-27-2024/templates/forms/anonymous_sharing.html"
"Daily Check In","Feature","Daily Check In functionality and management","","backup-12-27-2024/templates/forms/daily_check_in.html","backup-12-27-2024/templates/forms/daily_check_in.html"
"Analysis","Feature","Analysis functionality and management","","backup-12-27-2024/templates/forms/analysis.html","backup-12-27-2024/templates/forms/analysis.html"
"View","Feature","View functionality and management","","backup-12-27-2024/templates/forms/view.html; backup-12-27-2024/templates/meet/view.html","backup-12-27-2024/templates/forms/view.html"
"Therapy Session","Feature","Therapy Session functionality and management","","backup-12-27-2024/templates/meet/therapy_session.html","backup-12-27-2024/templates/meet/therapy_session.html"
"Recovery Group","Feature","Recovery Group functionality and management","","backup-12-27-2024/templates/meet/recovery_group.html","backup-12-27-2024/templates/meet/recovery_group.html"
"Mindfulness Session","Feature","Mindfulness Session functionality and management","","backup-12-27-2024/templates/meet/mindfulness_session.html","backup-12-27-2024/templates/meet/mindfulness_session.html"
"Sponsor Meeting","Feature","Sponsor Meeting functionality and management","","backup-12-27-2024/templates/meet/sponsor_meeting.html","backup-12-27-2024/templates/meet/sponsor_meeting.html"
"Analyze Notes","Feature","Analyze Notes functionality and management","","backup-12-27-2024/templates/meet/analyze_notes.html","backup-12-27-2024/templates/meet/analyze_notes.html"
"Analysis Result","Feature","Analysis Result functionality and management","","backup-12-27-2024/templates/meet/analysis_result.html","backup-12-27-2024/templates/meet/analysis_result.html"
"Generate Agenda","Feature","Generate Agenda functionality and management","","backup-12-27-2024/templates/meet/generate_agenda.html","backup-12-27-2024/templates/meet/generate_agenda.html"
"Agenda Result","Feature","Agenda Result functionality and management","","backup-12-27-2024/templates/meet/agenda_result.html","backup-12-27-2024/templates/meet/agenda_result.html"
"Edit","Feature","Edit functionality and management","","backup-12-27-2024/templates/meet/edit.html","backup-12-27-2024/templates/meet/edit.html"
"Track","Feature","Track functionality and management","","backup-12-27-2024/templates/price_tracking/track.html","backup-12-27-2024/templates/price_tracking/track.html"
"View Product","Feature","View Product functionality and management","","backup-12-27-2024/templates/price_tracking/view_product.html","backup-12-27-2024/templates/price_tracking/view_product.html"
"Ai Optimization","Feature","Ai Optimization functionality and management","","backup-12-27-2024/templates/settings/ai_optimization.html","backup-12-27-2024/templates/settings/ai_optimization.html"
"Aa Menu","Feature","Aa Menu functionality and management","","backup-12-27-2024/templates/includes/aa_menu.html","backup-12-27-2024/templates/includes/aa_menu.html"
"Reset Password","Feature","Reset Password functionality and management","","backup-12-27-2024/templates/auth/reset_password.html","backup-12-27-2024/templates/auth/reset_password.html"
"New Profile","Feature","New Profile functionality and management","","backup-12-27-2024/templates/language/new_profile.html","backup-12-27-2024/templates/language/new_profile.html"
"Profile","Feature","Profile functionality and management","","backup-12-27-2024/templates/language/profile.html","backup-12-27-2024/templates/language/profile.html"
"Vocabulary","Feature","Vocabulary functionality and management","","backup-12-27-2024/templates/language/vocabulary.html","backup-12-27-2024/templates/language/vocabulary.html"
"Add Vocabulary","Feature","Add Vocabulary functionality and management","","backup-12-27-2024/templates/language/add_vocabulary.html","backup-12-27-2024/templates/language/add_vocabulary.html"
"Practice Vocabulary","Feature","Practice Vocabulary functionality and management","","backup-12-27-2024/templates/language/practice_vocabulary.html","backup-12-27-2024/templates/language/practice_vocabulary.html"
"Security Badges","Feature","Security Badges functionality and management","","backup-12-27-2024/templates/components/security_badges.html","backup-12-27-2024/templates/components/security_badges.html"
"503","Feature","503 functionality and management","","backup-12-27-2024/static/error/503.html","backup-12-27-2024/static/error/503.html"
